filename;car_number
HG0A4734.CR3;11
HG0A4735.CR3;57
HG0A4736.CR3;4
HG0A4737.CR3;4
HG0A4742.CR3;54
HG0A4746.CR3;97
HG0A4748.CR3;007
HG0A4754.CR3;51
HG0A4755.CR3;29
HG0A4756.CR3;21
HG0A4757.CR3;63
HG0A4759.CR3;29
HG0A4760.CR3;88
HG0A4762.CR3;39
HG0A4763.CR3;6
HG0A4765.CR3;34
HG0A4767.CR3;150
HG0A4769.CR3;6
HG0A4770.CR3;48
HG0A4771.CR3;21
HG0A4772.CR3;37
HG0A4773.CR3;21
HG0A4775.CR3;97
HG0A4776.CR3;007
HG0A4777.CR3;57
HG0A4778.CR3;21
HG0A4779.CR3;35
HG0A4780.CR3;35
HG0A4781.CR3;24
HG0A4782.CR3;93
HG0A4783.CR3;8
HG0A4785.CR3;50
HG0A4786.CR3;83
HG0A4788.CR3;83
HG0A4791.CR3;31
HG0A4792.CR3;65
HG0A4793.CR3;43
HG0A4794.CR3;22
HG0A4795.CR3;50
HG0A4796.CR3;50
HG0A4797.CR3;63
HG0A4799.CR3;36
HG0A4800.CR3;22
HG0A4802.CR3;009
HG0A4803.CR3;009
HG0A4805.CR3;43
HG0A4806.CR3;43
HG0A4807.CR3;93
HG0A4810.CR3;37
HG0A4812.CR3;37
HG0A4816.CR3;150
HG0A4817.CR3;150
HG0A4818.CR3;150
HG0A4819.CR3;50
HG0A4820.CR3;50
HG0A4822.CR3;6
HG0A4823.CR3;21
HG0A4825.CR3;35
HG0A4832.CR3;16
HG0A4833.CR3;15
HG0A4837.CR3;33
HG0A4838.CR3;33
HG0A4842.CR3;12
HG0A4843.CR3;12
HG0A4844.CR3;63
HG0A4846.CR3;11
HG0A4848.CR3;5
HG0A4859.CR3;10
HG0A4862.CR3;90
HG0A4867.CR3;28
HG0A4870.CR3;196
HG0A4871.CR3;150
HG0A4872.CR3;36
HG0A4874.CR3;61
HG0A4879.CR3;59
HG0A4886.CR3;12
HG0A4888.CR3;94
HG0A4892.CR3;83
HG0A4893.CR3;33
HG0A4894.CR3;33
HG0A4902.CR3;93
HG0A4906.CR3;85
HG0A4908.CR3;9
HG0A4910.CR3;59
HG0A4914.CR3;4
HG0A4915.CR3;4
HG0A4917.CR3;21
HG0A4920.CR3;90
HG0A4922.CR3;007
HG0A4924.CR3;83
HG0A4925.CR3;83
HG0A4931.CR3;59
HG0A4934.CR3;94
HG0A4941.CR3;83
HG0A4943.CR3;183
HG0A4944.CR3;150
HG0A4953.CR3;23
HG0A4955.CR3;50
HG0A4957.CR3;63
HG0A4959.CR3;199
HG0A4960.CR3;85
HG0A4962.CR3;78
HG0A4966.CR3;59
HG0A4968.CR3;10
HG0A4971.CR3;007
HG0A4974.CR3;33
HG0A4976.CR3;150
HG0A4990.CR3;35
HG0A4994.CR3;59
HG0A5009.CR3;27
HG0A5010.CR3;85
HG0A5012.CR3;11
HG0A5014.CR3;007
HG0A5019.CR3;21
HG0A5025.CR3;13
HG0A5026.CR3;13
HG0A5028.CR3;15
HG0A5030.CR3;27
HG0A5032.CR3;63
HG0A5034.CR3;18
